File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\xampp\htdocs\uscsportsportal\filemanager\uploader\index.php,166,87,36,9,17,2,62,530,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\uploader\jupload.php,773,561,410,127,45,11,167,1401,0,0
D:\xampp\htdocs\uscsportsportal\filemanager\uploader\success.php,19,19,3,0,0,0,0,0,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Benchmark.php,134,29,17,7,12,0,93,518,0,0
D:\xampp\htdocs\uscsportsportal\system\core\CodeIgniter.php,542,219,119,27,58,0,265,1107,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Common.php,847,442,208,90,103,13,302,1579,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Config.php,376,177,89,37,46,7,153,693,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Controller.php,97,20,12,1,9,0,68,368,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Exceptions.php,276,138,77,14,28,1,110,528,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Hooks.php,267,120,67,28,35,0,112,526,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Input.php,896,430,219,95,114,4,352,1673,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Lang.php,204,93,53,18,26,0,85,459,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Loader.php,1396,700,393,134,180,3,516,2420,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Log.php,231,95,57,20,33,0,103,452,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Model.php,81,12,6,1,6,0,63,346,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Output.php,801,382,217,73,117,2,302,1317,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Router.php,515,224,126,31,67,0,224,1010,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Security.php,1019,441,195,76,114,23,464,2089,0,0
D:\xampp\htdocs\uscsportsportal\system\core\URI.php,644,269,147,53,81,2,294,1164,0,0
D:\xampp\htdocs\uscsportsportal\system\core\Utf8.php,165,57,26,12,15,4,93,469,0,0
D:\xampp\htdocs\uscsportsportal\system\core\compat\hash.php,246,148,59,28,24,0,74,382,0,0
D:\xampp\htdocs\uscsportsportal\system\core\compat\mbstring.php,150,50,22,14,13,1,87,415,0,0
D:\xampp\htdocs\uscsportsportal\system\core\compat\password.php,234,118,63,30,27,0,89,410,0,0
D:\xampp\htdocs\uscsportsportal\system\core\compat\standard.php,390,258,130,56,44,0,88,370,0,0
D:\xampp\htdocs\uscsportsportal\system\database\DB.php,219,117,58,19,22,1,80,475,0,0
D:\xampp\htdocs\uscsportsportal\system\database\DB_cache.php,222,84,50,19,32,0,106,503,0,0
